Property Name,Property Address,Latitude,Longitude,Rent Type,Style,Year Built,Vacancy %,Number Of Units,Number Of Studios Units,Studio Asking Rent/Unit,Studio Avg SF,Number Of 1 Bedrooms Units,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,Number Of 2 Bedrooms Units,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Number Of 3 Bedrooms Units,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Number Of 4 Bedrooms Units,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF
Gatehouse,11050 Ustick Rd,43.6341600,-116.3197771,Market,Low-Rise,2016,13.6364,22,,,,,,,22,1103,961,,,,,,
,11436 W Ustick Rd,43.6340975,-116.3230225,,,,,,,,,,,,,,,,,,,,
Ustick Corner Apartments,12600 W Ustick Rd,43.6341607,-116.3395337,Market,,2015,,8,,,,4,,679,4,,885,,,,,,
,3126 E Victory Rd,43.5768512,-116.5318418,Market,,,,,,,,,,,,,,,,,,,
Journey's End Townhomes,880 E Wandering Ln,43.4869019,-116.4024560,Market,Garden,2018,4.8276,145,,,,,,,145,1396,866,,,,,,
The Ranahan,4110 Warm Springs Ave,43.5704589,-116.1316911,Market,Mid-Rise,2027,,138,,,,51,,,55,,,32,,,,,
,5165 E Warm Springs Ave,43.5680960,-116.1195610,Market,Low-Rise,2022,16.6667,6,,,,,,,5,2095,1041,1,2305,1160,,,
Jasper,1018 N Webb Way,43.6136944,-116.3671604,Market,Garden,2020,4.1667,240,,,,185,1592,708,55,1718,1016,,,,,,
Dovetail,1350 N Webb Way,43.6171925,-116.3662002,Market,Low-Rise,2023,7.0833,240,,,,93,1535,735,106,1804,1095,41,2084,1249,,,
Whitewater Park,365 N Whitewater Park Blvd,43.6237640,-116.2293970,Market,Garden,1996,3.0864,324,,,,96,1618,780,144,1726,1022,84,2029,1280,,,
The Avens,186 S Whitewater Park Blvd,43.6209590,-116.2259457,Market,Mid-Rise,,,358,,,,,,,,,,,,,,,
